Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,AI Score (0-100),Recruiter Decision
"python, sql, tensorflow",0.0,,None,Data Scientist,0,70,Reject
"deep learning, java, python",1.167,b.s.,None,Data Scientist,1,70,Reject
"machine learning, nlp, sql",11.833,b.s.,None,Software Engineer,11,70,Reject
"nlp, python, tensorflow",13.833,b.s.,None,Data Scientist,13,70,Reject
"python, tensorflow",0.0,,None,Data Scientist,0,70,Reject
"python, sql",9.417,b.s.,None,Data Scientist,9,70,Reject
,0.0,,None,Software Engineer,0,70,Reject
"python, sql",0.0,,None,Data Scientist,0,70,Reject
"machine learning, python, sql",6.25,b.s.,None,Data Scientist,6,70,Reject
,0.0,,None,Software Engineer,0,70,Reject
"deep learning, machine learning, pytorch",0.0,master's,None,Software Engineer,0,70,Reject
"python, sql",6.75,b.s.,None,Data Scientist,6,70,Reject
python,0.0,,None,Data Scientist,0,70,Reject
"cybersecurity, machine learning, python",0.0,master's,None,Data Scientist,0,70,Reject
sql,6.25,b.s.,None,Software Engineer,6,70,Reject
python,0.0,,None,Data Scientist,0,70,Reject
"machine learning, tensorflow",0.0,,None,Software Engineer,0,70,Reject
"machine learning, python, tensorflow",0.0,,None,Data Scientist,0,70,Reject
"machine learning, python, sql",3.667,b.s.,None,Data Scientist,3,70,Reject
"nlp, python, sql",12.25,phd,None,Data Scientist,12,70,Reject
"machine learning, python, pytorch",0.0,,None,Data Scientist,0,70,Reject
"python, sql",11.667,master's,None,Data Scientist,11,70,Reject
,0.0,,None,Software Engineer,0,70,Reject
